"","Var1","Freq","Length"
"1","250",2,250
"2","259",1,259
"3","261",1,261
"4","271",1,271
"5","276",1,276
"6","283",1,283
"7","295",3,295
"8","298",1,298
"9","301",3,301
"10","302",3,302
"11","304",11,304
"12","305",3,305
"13","306",2,306
"14","307",9,307
"15","310",11,310
"16","311",2,311
"17","312",25,312
"18","313",391,313
"19","314",8,314
"20","315",9,315
"21","316",30,316
"22","318",1,318
"23","319",1,319
"24","320",1,320
"25","352",14,352
"26","355",2,355
"27","357",1,357
"28","372",1,372
"29","391",1,391
